TMC,Severity,Start_Lng,Start_Lat,Distance(mi),Temperature(F),Humidity(%),Visibility(mi)
201.0,2.0,-83.666924,33.627762,0.01,54.0,41.0,10.0
201.0,3.0,-84.391701,33.791626,0.01,54.0,40.0,10.0
201.0,2.0,-84.34921999999997,33.758179,0.01,54.0,38.0,10.0
201.0,2.0,-84.35752099999998,33.911575,0.01,55.0,37.0,10.0
201.0,3.0,-84.338135,33.917973,0.01,55.0,37.0,10.0
201.0,3.0,-84.240868,33.714588,0.01,57.0,36.0,10.0
247.0,3.0,-84.3787,33.754379,0.01,57.0,33.0,10.0
222.0,3.0,-84.526489,34.124035,0.01,53.6,38.0,10.0
222.0,3.0,-84.593475,34.054111,0.01,53.6,38.0,10.0
222.0,3.0,-84.240868,33.714588,0.01,55.9,36.0,10.0
222.0,3.0,-84.207817,33.912239,0.01,55.0,37.0,10.0
222.0,2.0,-84.697975,33.854541999999995,0.01,55.2,36.0,10.0
245.0,3.0,-84.469887,33.884594,0.01,55.2,36.0,10.0
222.0,3.0,-84.504333,33.941074,0.01,55.2,36.0,10.0
201.0,3.0,-84.489685,33.825253000000004,0.01,55.2,36.0,10.0
222.0,3.0,-84.250778,33.884377,0.01,53.1,40.0,10.0
222.0,2.0,-84.074883,34.258011,0.01,52.0,41.0,10.0
229.0,2.0,-84.35771899999997,33.931988,0.01,53.1,40.0,10.0
229.0,3.0,-83.917847,34.075195,0.01,53.6,41.0,10.0
222.0,2.0,-84.176224,31.575336,0.01,57.0,49.0,10.0
241.0,2.0,-84.17443100000001,34.054432,0.01,51.8,44.0,10.0
203.0,3.0,-84.51313,33.585121,0.01,50.0,46.0,10.0
241.0,3.0,-84.519745,33.961693,1.79,48.7,47.0,10.0
222.0,3.0,-84.469887,33.884594,0.01,48.7,47.0,10.0
343.0,2.0,-84.06079100000002,33.960697,0.01,51.8,44.0,10.0
241.0,2.0,-83.746521,31.617758,0.01,55.8,56.0,10.0
201.0,3.0,-84.453125,33.881221999999994,0.01,44.8,57.0,10.0
201.0,2.0,-84.53997,33.441334000000005,0.01,43.0,80.0,10.0
201.0,3.0,-84.533951,33.56702,0.01,48.9,48.0,10.0
222.0,3.0,-84.265656,33.698849,0.01,46.0,56.0,10.0
201.0,3.0,-84.390343,33.744976,0.01,46.0,56.0,10.0
201.0,2.0,-84.84721400000002,31.601265,0.01,46.4,81.0,10.0
201.0,2.0,-84.116692,31.483543,0.01,48.0,74.0,10.0
201.0,2.0,-84.44136800000003,33.474354,0.01,37.9,89.0,10.0
201.0,3.0,-84.4869,33.619968,0.01,39.0,70.0,10.0
201.0,3.0,-84.401093,33.63892,0.01,39.0,70.0,10.0
241.0,3.0,-84.430565,33.74649,0.01,39.0,70.0,10.0
247.0,3.0,-84.217415,33.711597,0.01,39.0,70.0,10.0
201.0,3.0,-84.438622,33.616844,0.01,39.0,70.0,10.0
201.0,3.0,-84.576927,34.033669,0.01,37.4,65.0,10.0
201.0,2.0,-84.4869,33.619968,0.01,39.0,70.0,10.0
201.0,3.0,-84.39836899999997,33.617668,0.01,39.0,70.0,10.0
201.0,1.0,-84.096085,33.808353000000004,0.01,39.0,65.0,10.0
201.0,3.0,-84.558914,34.014187,0.01,35.6,70.0,10.0
241.0,3.0,-84.252602,33.827091,0.01,39.0,65.0,10.0
201.0,2.0,-84.607742,33.849090999999994,0.01,37.9,70.0,10.0
201.0,2.0,-84.57624100000002,33.895454,0.01,39.9,61.0,10.0
201.0,2.0,-84.494675,33.898891,0.01,39.9,61.0,10.0
247.0,2.0,-84.488739,34.021393,0.01,35.6,70.0,10.0
201.0,3.0,-84.48774,33.618126000000004,0.01,39.0,70.0,10.0
